customerid,customername,mob,email,city
1,AlexJames,8711738367,demo@gmail.com,Toronto
2,RichardDavid,8124138884,demo@gmail.com,Ottawa
3,JamesBrad,8985457157,demo@gmail.com,Vancouver
4,MikeLew,9600477089,demo@gmail.com,Calgary
5,TimDek,9983312816,demo@gmail.com,Toronto
6,DemiJake,8660453158,demo@gmail.com,Vancouver
7,CarlWest,9905758468,demo@gmail.com,Calgary
8,EiaNice,8135706616,demo@gmail.com,Calgary
9,WeberRok,8430061378,demo@gmail.com,Vancouver
10,JohnCook,8992238558,demo@gmail.com,Montreal
11,EshaIliop,9721089929,demo@gmail.com,Quebec
12,DerekMathew,9501186168,demo@gmail.com,Regina
13,KoshTeek,8414848677,demo@gmail.com,Montreal
